id_num,winery,designation,points,price,country,province,variety,description
72224,Di Meo,Don Generoso,92,120,Italy,Southern Italy,Aglianico,"As its name implies, Don Generous doles out opulence and aromatic intensity, lingering long on the nose and palate. This is a smoky, masculine expression, with notes of lead pencil, slate, prune, cassis and spice. It delivers the essences of volcanic soil with dry and firm tannins at the back."
72955,Villa Erbice,Tremenel,91,65,Italy,Veneto,Red Blend,"Tremenel has an earthy fragrance of underbrush, tobacco and ripe black fruit with a whiff of spice. The palate delivers a tight core of black cherry layered with raisin, white pepper, nutmeg and cocoa backed up by bracing but refined tannins."
74431,The Farm Winery,Cardinal,90,90,US,California,Cabernet Sauvignon,"This is one of the most expensive Cabernet Sauvignons ever from Paso Robles, but the truth is that it expresses a new, emerging style from that region of balance and complexity. Made from 100% Cab, it's dry, full bodied and balanced, although a little conspicuous in alcohol. The black currant flavors are powerful and delicious. Drink soon."
75117,Chateau Giscours,Barrel Sample,94,100,France,Bordeaux,Bordeaux-style Red Blend,"93–95. Barrel sample. This firm, dry wine is solidly rich and full in the mouth. With fine acidity and black currant fruit that show through the tannins, it is a wine with considerable potential."
76024,Inspire Moore,Love,86,15,US,New York,Riesling,"Hints of bergamot add a musky elegance to tropical notes of sweet melon and tangerine in this beautifully perfumed Riesling. There's a sugariness on the midpalate, but the finish is clean and brisk, with a shower of pink grapefruit acidity."
76684,Bailiwick,Borderline,89,36,US,California,Pinot Noir,"Intense and nervy, this has high acidity that gives it a mouthwatering quality. It's absolutely dry, with bright cherry-pie and spice flavors. Shows real promise for Marin County Pinot Noir."
82151,Fleur Du Cap,Bergkelder Selection,87,12,South Africa,Western Cape,Cabernet Sauvignon,"This Cab has all of the classic notes one would expect: rich dark berry fruit, black plum skin, cigar tobacco and black currant leaf are all front and center. The tannins are surprisingly firm and tightly structured, but the nuances of milk chocolate sauce and graham cracker crumb add decadence to the finish."
82720,Lava Cap,Estate Bottled,86,16,US,California,Sauvignon Blanc,"Lava Cap Sauvignon Blanc is made from estate-grown grapes, then barrel ferments for a tropical, nutty, round version of the wine, with lots of creamy, tropical flavors. The finish shows off the wine's time in oak."
87259,Ktima Driopi,NA,85,25,Greece,Nemea,Agiorgitiko,"This earthy red starts with aromas of leather, cherry and dried fruit, followed by spicy pepper, leather and a touch of barnyard on the palate. Unfolding and interesting, the wine will open up with food—think red meat, game."
89660,McCrea,Boushey Vineyard Sirocco Blanc,95,25,US,Washington,White Blend,"Among McCrea's Rhône-inspired white wines, this is the most complete and complex. It's rich and dense, with honeycomb, lychee, lemon rind, pineapple and lots of stone—lovely and lingering. It seems to gain strength as it rolls through a sensational finish."
89996,Modus Operandi,NA,93,33,US,California,Sauvignon Blanc,"A beautiful, complex and compelling wine that shows how well Napa can perform at Sauvignon Blanc, if it really wants to. It moves to the front ranks for its dryness, crispness and elegance, while delivering plenty of delicious flavor. Pineapples, lemons and limes flood the mouth, without the slightest grassy unripeness, and with a tantalizing hint of flowers and minerals. Totally elegant and sophisticated, a great white wine for the finest fare."
92602,Yonna,NA,81,25,Spain,Northern Spain,Red Blend,"Hot and poorly structured, with o.k. cherry cola aromas but very little on the palate. Tastes tart and of sour plums, with a short, starchy, tannic finish. Raw stuff that's not that good in the scheme of things."
93807,Santa Carolina,Reserva de Familia,83,20,Chile,Casablanca Valley,Chardonnay,Not much in the way of aromas except for flatness and apple juice. This wine is a cipher for the most part; it has flat apple and lemon flavors and then a maderized finish that is wheaty and suggests vanilla. Not fully vital; could already be past its prime.
94523,Lynmar,Five Sisters,97,100,US,California,Pinot Noir,"This important Pinot Noir is expensive, but it is absolutely worth a search. It's not a single-vineyard wine, but a blend of various blocks from the cooler southern part of the valley. Oak, to the tune of 70% new, is very strong in char and vanilla, but way stronger is the fruit itself, which is exemplary and stunning. Raspberries, cherries and strawberries just begin to describe it, with all sorts of spice and earth complexities. Stuns with purity, complexity and sheer delicious power. Great now, and will easily develop over the next 6–8 years."
94882,Saintsbury,NA,86,35,US,California,Pinot Noir,"A good, solid, everyday Pinot. Likeable for its dryness, crispness and silky texture. Shows adequate flavors of cherries, herbs, cedar and spices. Drink now."
99269,B Cellars,Georges III,93,55,US,California,Cabernet Sauvignon,"A classic example of a young, sweetly fruity and very refined Napa Cab that needs some time in the cellar. Polished and lovely, with finely ripe tannins and decadently good flavors of blackberries, black cherries, chocolate, currants and oak. The palate's enjoyment is interfered with by the astringency. Give it until 2012 to begin to come around."
99469,Millton,Riverpoint Vineyard,88,16,New Zealand,Gisborne,Chardonnay,"This wine offers easy drinkability at a fair price. It starts off with apple and melon scents, then folds in subtle toast and vanilla shadings, while the flavors of white peach and citrus make it versatile with food. Drink now and over the next couple of years."
99518,Edna Valley Vineyard,Islay Peak,86,25,US,California,Rhône-style Red Blend,"A Rhône blend from the cool Central Coast, this dry wine shows peppery flavors of blackberries, rhubarb and toast. The acids and tannins give it balance, and suggest rich fare, such as game and hard cheeses."
102797,Solaire by Robert Mondavi,NA,84,15,US,California,Chardonnay,"With its pear, apple, pineapple and oaky flavors, this Chard shows a good balance of crisp, cool-climate acidity. It's a little raw on the finish."
105874,Midnight,Synnove,84,22,US,California,Petite Verdot,"Raisins and chocolate are the dominant themes of this rather sweet, tannic wine. It's very full-bodied and soft in acidity, and it finishes a bit hot."
109929,Landmark,Damaris Reserve,84,38,US,California,Chardonnay,"New oak seems to dominate this Chard, swamping the actual flavor of the wine. The grapes provide lovely apricots and pineapples, balanced with fine acidity, but the oak swamps with smoke and vanilla and sappy wood cream."
110599,Stevens,424 Red Wine,91,32,US,Washington,Red Blend,"Beautiful aromas of fruit and fresh-baked bread rise from the glass. The wine shows good concentration, a mix of black cherry, blackberry, plum, and licorice; it's nicely proportioned and balanced, with the tannins big and polished."
110611,Acacia,Beckstoffer Las Amigas Vineyard,90,60,US,California,Pinot Noir,"From the Napa side of the appellation comes this dry, young Pinot Noir. The acids, tannins and new oak show now, and also the intensely ripe cherry fruit, with all the parts jockeying for position. Needs time to knit together. Best after 2007, and through 2011 before it loses fruit."
111450,Trentadue,La Storia Cuvée 32 Red Wine,88,32,US,California,Red Blend,"This is the best of the winery's current red releases. A blend of Sangiovese, Merlot and Cabernet Sauvignon, it's ripely sweet in blackberry pie filling and mocha flavors, and while it's soft in acids, the tannins are pretty and polished. Try with grilled steak and a rich, wine-infused mushroom sauce."
112566,Skouras,Saint George-Cabernet Sauvignon,85,8,Greece,Peloponnese,Agiorgitiko,"A Beaujolais-like nose of raspberry and clay leads to a fruity wine with blueberry and raspberry and a streak of minerality. Only 5% Cabernet, it has a medium-full body supported by good tannins, finishing with tart red fruit."
113656,Resalte,Reserva,88,70,Spain,Northern Spain,Tempranillo,"Leather, tobacco, citrus peel and herbs make for a controlled bouquet that doesn't smack you in the face. The body, however, is tannic and grabby, while the flavors of sweet berry carry a roasted angle and a dash of spice. Chocolaty and spicy on the finish, but again it goes down hard and tannic, which is a drawback."
113911,Delas Freres,Marquise de la Tourette,89,54,France,Rhone Valley,Rhône-style White Blend,"Exotic fruits dominate this rich, ripe wine. To taste, there is an array of lychees, mangoes, nectarines, all giving richness and almost sweetness to the palate. It's already ready to drink, and should mature quickly."
115082,Las Moras,Black Label,86,18,Argentina,Other,Bonarda,"Black Label is a step up the quality ladder for Las Moras, based in San Juan. And this wine is full and chunky on the nose, with blackberry and plum-based aromas. In the mouth, it's more racy and oaky, teetering on sharp. But the freshness it boasts bodes well for pairing with meat, and the aforementioned oak lends a hint of cappuccino to an otherwise snappy finish."
116301,Concannon,Selected Vineyards,83,10,US,California,Cabernet Sauvignon,"Tough, with sweet and sour flavors of cherries and currants. Fruit forwardness characterizes this rustic young wine."
118104,V. Sattui,Quaglia Vineyard,87,33,US,California,Zinfandel,"You can taste the warm sunshine in the spicy berry flavors of this Zin. It comes right up to the edge of overripe, with suggestions of bitter raisins, then pulls back to let the cassis and cherry liqueur shine through."
119867,Tamaya,NA,87,10,Chile,Limari Valley,Cabernet Sauvignon,"Tamaya seems to have turned the corner with its 2008 Cabs (the reserva is also very good). This wine is condensed and concentrated, with blackberry jam and other sweet berry aromas. The palate is pure and tastes of cassis and black fruit, while the finish has cola notes and a slight tannic bite. Generous for the price. Imported by Ecovalley Quality Wine Group and National Refrescos Import Company, LLC."
121465,Tenuta San Giorgio,Cacciacone,91,40,Italy,Tuscany,Red Blend,"Here's a fabulous 50-50 blend of Cabernet Sauvignon and Syrah that offers black, thick consistency and meaty aromas of cured beef, peppercorn, smoke, tobacco and loads of luscious dark berry fruit. It's a soft, velvety wine with a plush, soft finish."
122787,Giacomo Grimaldi,Le Coste,95,75,Italy,Piedmont,Nebbiolo,"Founded in 1930 by Ferruccio Grimaldi, this family-run estate is now showing some very exciting results. The La Coste Barolo is a tight and focused wine that promises to age beautifully over many more years. The tannins and acidity are perfectly integrated and the nose boasts bright and intense layers of forest fruit, exotic spice, mesquite and black licorice."
122958,Puydeval,NA,87,14,France,Languedoc-Roussillon,Red Blend,"A lovely blend from the Languedoc comprised of 60% Cabernet Franc, 30% Syrah and 10% Merlot. The nose and mouth offers loads of menthol and garrigue herbs (especially lavender) along side bright small red berries and sweet green pepper. Medium weight and well structured with a lengthy finish."
123304,Vin du Lac,Barrel Select,87,40,US,Washington,Malbec,"Nice juice, tart and berry-flavored, with firm acidity and structure. Just a hint of plastic creeps into the finish."
124618,Adelaida,Viking Estate Vineyard Reserve,89,65,US,California,Syrah,"A dramatically dark, ripe wine that's nowhere near ready to drink now, due to the tannins. They're hard and strong and effectively shut the wine into astringent lockdown mode. But there's a solid core of blackberries, and the wine seems to have the balance to pass through this tannic sea into broader, softer oceans. Try after 2008."
124837,Pikes,The White Mullet Riesling-Viognier-Sauvignon Blanc-Chenin Blanc,88,15,Australia,South Australia,White Blend,"Mainly Riesling—and it shows in the wine's lime aromas and crushed-stone minerality. But the bits of pieces of other white grapes (Viognier, Sauvignon Blanc and Chenin Blanc) impart a bit more weight and fruity complexity, ending on a spicy note. Drink now."
126817,Nittnaus Anita und Hans,Sauvignon Blanc,87,16,Austria,Burgenland,Sauvignon Blanc,"The warm Burgenland climate has produced a Sauvignon Blanc that goes for the yellow fruits and richness. But there is also a good, crisp lemon streak that brightens the whole wine. For drinking this summer. Screwcap."
129563,Simonnet-Febvre,Fourchaume Premier Cru,91,35,France,Burgundy,Chardonnay,"Concentrated, dense, powerful and full of glistening green fruits, this wine is lightly touched with caramel, but more dominated by ripe acidity. The aftertaste is tight, suggesting good aging potential."
130348,J. Lohr,Late Harvest,90,25,US,California,White Riesling,"Sweet enough to be served as a dessert or with cheeses but not with dessert, this is a luscious, fruity wine that simply delicious. A hint of aprict adds dimension to the superripe apple and pineapple flavors."
131313,Trapiche,Broquel,88,15,Argentina,Mendoza Province,Cabernet Sauvignon,"This '05 Cab, shows berry aromas and some herbal essence, followed by flavors of boysenberry, blackberry, plum and coffee. It's well-oaked and solid, with tannic bite and good texture. A serious and real wine for a good price."
132728,Valley of the Moon,NA,88,16,US,California,Chardonnay,"Rich and full bodied, this is a tremendously ripe Chardonnay that explodes with peach custard, orange popsicle, pineapple, crème brûlée and cinnamon spice flavors, leading to a long, fruity finish."
137088,Wine Guerrilla,NA,82,30,US,California,Zinfandel,"Super-ripe and dry, with raisin and Port flavors wrapped into 16.5% alcohol. It's a good example of what it is, but certainly exceeds balance."
144117,Trapiche,Vina Jose Blanco,91,34,Argentina,Mendoza Province,Malbec,"Very big and brawny is this single-vineyard, new-to-the-market Malbec from grower Jose Blanco. Expect lots of fresh-cut cinnamon on the nose along with leather, earth and gum. Heavy but balanced, with big tannins wrapped in plenty of coconut and mint. Takes a while to grasp; it's a giant with huge fruit and some clumsiness. Better from 2007–2009. Imported by Frederick Wildman & Sons, Ltd."
145455,Von Strasser,Post Vineyard,91,60,US,California,Cabernet Sauvignon,"Fairly tannic now, with a tart, dusty bite of grape skin, and also hefty in acidity. Underneath all that are ripe currant and cassis flavors. This is an age worthy wine that should develop great complexity after 2010."
149050,Wolf Blass,Barrel Fermented,86,12,Australia,South Australia,Chardonnay,"A bright pear and cinnamon nose opens this attractive, medium-weight wine. The palate shows peach and pear flavors, supported by brisk—some might say sharp—acidity, but flabby it isn't. Shows good balance and a nice long spicy finish, where the oak comes on strong."
149659,Chehalem,INOX,90,17,US,Oregon,Chardonnay,"Stainless steel fermented and aged, to bring bright, acid-driven fruit to the forefront. Full-bodied and flavorful, with nicely mixed stone fruits, pineapple, green berries and lemony citrus. It sets up sharply on the palate and holds true, just waiting for some fresh shellfish."
150046,Woodbridge,NA,82,8,US,California,Cabernet Sauvignon,"Inexpensive Cabernet can often be slightly weedy, even rubbery, with a hot feeling to it. So it is with this wine. The Mondavi folks managed to pack in as much blackberry and cassis fruit as they could, but there's really just a hint of it. The tannins are light, the acidity soft, and that's about it."
